"Image","Title","Sales Rank: Current","Reviews: Rating","Buy Box: Current","Buy Box: Stock","Amazon: Current","Amazon: Stock","New: Current","List Price: Current","Categories: Tree","Website Display Group: Name","ASIN","Product Codes: EAN","Brand","Author"
"https://m.media-amazon.com/images/I/71wNhcQ-wQL.jpg;https://m.media-amazon.com/images/I/71DEpMb7FsL.jpg;https://m.media-amazon.com/images/I/71wlYBPuabL.jpg;https://m.media-amazon.com/images/I/71Rbob0VvaL.jpg;https://m.media-amazon.com/images/I/71xLW8DJ07L.jpg;https://m.media-amazon.com/images/I/711Gx+g2J0L.jpg;https://m.media-amazon.com/images/I/71CskBJx8bL.jpg;https://m.media-amazon.com/images/I/7175zrBN+tL.jpg;https://m.media-amazon.com/images/I/71UAv9stU5L.jpg","Razer DeathAdder V3 Pro + HyperPolling Wireless-Adapter - Ultra leichte E-Sport-Maus mit echten 8K Hz kabelloser Abtastrate (63 gr, Optischer Focus Pro 30K, Optische Switches 3. Gen) Schwarz","10","4.4","107.99","301","116.49","4","111.98","189.99","Games › Plattformen › PC › Zubehör › Gaming-Mäuse","Computer & Zubehör","B0CP58SV4N","8886419334286","Razer",""
"https://m.media-amazon.com/images/I/816uQJ+2EJL.jpg;https://m.media-amazon.com/images/I/81zan61h1-L.jpg;https://m.media-amazon.com/images/I/71KMlpOQJ9L.jpg;https://m.media-amazon.com/images/I/8127SrYnxcL.jpg;https://m.media-amazon.com/images/I/71sG4c2hlRL.jpg;https://m.media-amazon.com/images/I/71kierEXXhL.jpg;https://m.media-amazon.com/images/I/713l9A1QLgL.jpg;https://m.media-amazon.com/images/I/71DpXoro5tL.jpg;https://m.media-amazon.com/images/I/7103T5RmneL.jpg","Razer DeathAdder V3 Pro - Fortnite Edition Kabellose Esports Gaming-Maus - Focus Pro 30K DPI optischer Sensor (63g leicht, ergonomische Form, Mausschalter Gen-3, HyperSpeed Wireless) Fortnite","10","4.5","99.99","1","99.99","1","99.00","159.99","Games › Plattformen › PC › Zubehör › Gaming-Mäuse","Computer & Zubehör","B0D31WF1QZ","8886419334415","Razer",""
"https://m.media-amazon.com/images/I/71QGU-U1u9L.jpg;https://m.media-amazon.com/images/I/81yNx+o0YJL.jpg;https://m.media-amazon.com/images/I/71DQ7RuY-UL.jpg;https://m.media-amazon.com/images/I/41dqFaAoJ5L.jpg;https://m.media-amazon.com/images/I/71h0h39bf6L.jpg;https://m.media-amazon.com/images/I/91R7VoLX+2L.jpg;https://m.media-amazon.com/images/I/81tv3OmMJYL.jpg;https://m.media-amazon.com/images/I/91rhCDTrkVL.jpg;https://m.media-amazon.com/images/I/71nGOtUVINL.jpg","Razer Basilisk V3 Pro 35K - Vollständig anpassbare kabellose ergonomische Gaming-Maus mit Chroma RGB - 35K optischer Sensor (konfigurierbares Rad, 1K Hz Polling-Rate, 13 anpassbare Tasten) Schwarz","17","4.3","148.99","6","148.99","6","148.99","179.99","Games › Plattformen › PC › Zubehör › Gaming-Mäuse","Computer & Zubehör","B0DDC9PPH6","2220009779099, 8886419334606","Razer",""
"https://m.media-amazon.com/images/I/71+F7P4KahL.jpg;https://m.media-amazon.com/images/I/71aCLUUWWBL.jpg;https://m.media-amazon.com/images/I/71DQ7RuY-UL.jpg;https://m.media-amazon.com/images/I/313qXmaKUhL.jpg;https://m.media-amazon.com/images/I/71O0HH-6QsL.jpg;https://m.media-amazon.com/images/I/910uBaROJQL.jpg;https://m.media-amazon.com/images/I/81kWvNMVutL.jpg;https://m.media-amazon.com/images/I/91XNczI9jSL.jpg;https://m.media-amazon.com/images/I/61cypJjaAtL.jpg","Razer Basilisk V3 Pro 35K - Vollständig anpassbare kabellose ergonomische Gaming-Maus mit Chroma RGB - 35K optischer Sensor (konfigurierbares Kipprad, 1K Hz Polling-Rate, 13 anpassbare Tasten) Weiß","17","4.3","144.43","4","144.43","4","144.43","179.99","Games › Plattformen › PC › Zubehör › Gaming-Mäuse","Computer & Zubehör","B0DDCC4832","8886419334644","Razer",""
"https://m.media-amazon.com/images/I/61XiCl8AM2L.jpg;https://m.media-amazon.com/images/I/61270dwYNwL.jpg;https://m.media-amazon.com/images/I/61SY2ooir4L.jpg;https://m.media-amazon.com/images/I/61lOAGb+4kL.jpg;https://m.media-amazon.com/images/I/61fBMy4BoVL.jpg;https://m.media-amazon.com/images/I/716eK6D5GtL.jpg","GoPro HERO13 Black Extended Power Bundle – Dualladegerät, 3 Enduro Akkus, 1 Gebogene Klebehalterung, MicroSD-Karte mit 64 GB, Befestigungsclip + Flügelschraube, 2 USB-C-Kabel, Kamera-Case","31","4.7","394.00","44","413.86","1","394.00","519.99","Elektronik & Foto › Kamera & Foto › Actionkameras","Photography","B0FLQ54RHB","0810116383931","GoPro",""
"https://m.media-amazon.com/images/I/615eTO83jLL.jpg;https://m.media-amazon.com/images/I/61HpcGK27ZL.jpg;https://m.media-amazon.com/images/I/61MHRPO0iYL.jpg;https://m.media-amazon.com/images/I/71iG5cLlrwL.jpg;https://m.media-amazon.com/images/I/81tmI0RX3KL.jpg;https://m.media-amazon.com/images/I/71htYv5QDUL.jpg;https://m.media-amazon.com/images/I/81sU+NOLEKL.jpg","GoPro HERO13 Black – wasserdichte Actionkamera mit 5,3K60-Video, 27MP-Foto + Kompatibilität mit Objektiven der HB-Serie","31","4.5","338.00","3","359.99","9","338.00","449.99","Elektronik & Foto › Kamera & Foto › Actionkameras","Photography","B0DCQVQDQ7","0810116381616, 8101163816162","GoPro",""
"https://m.media-amazon.com/images/I/81Vs1awEv+L.jpg;https://m.media-amazon.com/images/I/615eTO83jLL.jpg;https://m.media-amazon.com/images/I/61HpcGK27ZL.jpg;https://m.media-amazon.com/images/I/61MHRPO0iYL.jpg;https://m.media-amazon.com/images/I/61G2yrWtcBL.jpg;https://m.media-amazon.com/images/I/615Z07OfGuL.jpg;https://m.media-amazon.com/images/I/61NZnqPdZzL.jpg","GoPro HERO13 Black Zubehörpaket – enthält den Handler (schwimmender Handgriff), 2 Enduro-Akkus, 2 Gebogene Klebehalterungen, 64GB SanDisk MicroSD-Karte, Tragetasche und mehr","31","4.3","400.00","100","425.90","1000","400.00","499.99","Elektronik & Foto › Kamera & Foto › Zubehör › Kamerazubehör › Zubehör-Sets","Photography","B0DFY6JWWZ","0634240309137, 0810116381630","GoPro",""
"https://m.media-amazon.com/images/I/71zN1b2C95L.jpg;https://m.media-amazon.com/images/I/71Yfhy4DrhL.jpg;https://m.media-amazon.com/images/I/71oVeTQw9XL.jpg;https://m.media-amazon.com/images/I/71LHrmpYZxL.jpg;https://m.media-amazon.com/images/I/71aWWnipd8L.jpg;https://m.media-amazon.com/images/I/619pnehb4DL.jpg;https://m.media-amazon.com/images/I/61vToSpAxzL.jpg;https://m.media-amazon.com/images/I/71uAjJuSvLL.jpg","GoPro HERO13 Black in Waldgrün (Farbe in limitierter Auflage) – wasserdichte Action-Kamera mit 5,3K60-Video, 27MP-Foto + Kompatibilität mit Objektiven der HB-Serie","31","4.6","380.72","1000","380.72","1000","380.00","449.99","Elektronik & Foto › Kamera & Foto › Actionkameras","Photography","B0F8PHLFX1","0810116384105","GoPro",""
"https://m.media-amazon.com/images/I/61PL5ufIrQL.jpg;https://m.media-amazon.com/images/I/61nMJ72J4dL.jpg;https://m.media-amazon.com/images/I/61UXAw2jvmL.jpg;https://m.media-amazon.com/images/I/61PBo52qH8L.jpg;https://m.media-amazon.com/images/I/61Out-cr8QL.jpg;https://m.media-amazon.com/images/I/7168gdQCAqL.jpg;https://m.media-amazon.com/images/I/71XFdErdEgL.jpg;https://m.media-amazon.com/images/I/71DTMMOzBRL.jpg","GoPro HERO13 Black Creator Edition – enthält HERO13 Black, Volta (Batteriegriff, Stativ, Fernbedienung), Media Mod, Light Mod, Enduro-Akku, magnetische Verriegelungshalterung und Tragetasche","31","4.2","554.71","2","","","554.71","679.99","Elektronik & Foto › Kamera & Foto › Actionkameras","Photography","B0DCQRQ2NZ","0810116381661","GoPro",""
"https://m.media-amazon.com/images/I/71j5r6qSwrL.jpg","GoPro HERO13 Black + Objektivkollektion der HB-Serie – Enthält Makroobjektiv, Ultraweitwinkelobjektiv, 4 ND-Filter, anamorphotisches Objektiv und Premium-Gehäuse","31","5","599.43","5","599.43","5","599.43","789.99","Elektronik & Foto › Kamera & Foto › Actionkameras","Photography","B0FCV616DQ","0810116383306","GoPro",""
