"Image","Title","Sales Rank: Current","Reviews: Rating","Buy Box: Current","Buy Box: Stock","Amazon: Current","Amazon: Stock","New: Current","List Price: Current","Categories: Tree","Website Display Group: Name","ASIN","Product Codes: EAN","Brand","Author"
"https://m.media-amazon.com/images/I/41X1WMjb17L.jpg;https://m.media-amazon.com/images/I/41f7qMJfs4L.jpg;https://m.media-amazon.com/images/I/31hbAxxEskL.jpg;https://m.media-amazon.com/images/I/41c590RVk5L.jpg;https://m.media-amazon.com/images/I/41JPzmI2InL.jpg;https://m.media-amazon.com/images/I/4167sR5QNRL.jpg","ASUS Prime 850W Gold Black Edition Gaming Netzteil (850 Watt, Lüfter mit Doppelkugellager, ATX 3.1 & PCIe 5.1 kompatibel, 80 Plus & Cybernetics Gold-Zertifizierung, geätzte Kabel, Schwarz)","758","4.6","129.90","","129.90","","129.90","129.90","Computer & Zubehör › Komponenten & Ersatzteile › Interne Komponenten & Hardware › Prozessoren","Computer & Zubehör","B0GFXBW7YX","4711636288194","ASUS",""
"https://m.media-amazon.com/images/I/41jHWdZfTYL.jpg;https://m.media-amazon.com/images/I/51CBjEkvFlL.jpg;https://m.media-amazon.com/images/I/41DQ14BaixL.jpg;https://m.media-amazon.com/images/I/41SvK1-dzML.jpg;https://m.media-amazon.com/images/I/41Zz0rEvmvL.jpg;https://m.media-amazon.com/images/I/41szGQQrosL.jpg;https://m.media-amazon.com/images/I/512E38dULwL.jpg","ASUS ROG Thor III 1200P 90YE00V5-B0NA00","773","4.4","428.00","2","428.00","2","428.00","582.11","Computer & Zubehör › Komponenten & Ersatzteile › Interne Komponenten & Hardware › Prozessoren","Computer & Zubehör","B09BJPXRWZ","4711636125420","ASUS",""
"https://m.media-amazon.com/images/I/41ArEZ7Rm6L.jpg;https://m.media-amazon.com/images/I/41H3S5RDuaL.jpg;https://m.media-amazon.com/images/I/21I5mEIpeIL.jpg","AMD Ryzen 7 9800X3D 5.2GHZ AM5 Box","1164","4.8","","","","","462.99","649.00","Computer & Zubehör › Komponenten & Ersatzteile › Interne Komponenten & Hardware › Prozessoren","Computer & Zubehör","B0DKFMSMYK","7301433152896, 0730143315289","AMD",""
"https://m.media-amazon.com/images/I/41t0HDY4O+L.jpg;https://m.media-amazon.com/images/I/31i5VzK9F6L.jpg;https://m.media-amazon.com/images/I/41aohXdrfZL.jpg;https://m.media-amazon.com/images/I/41wkn3ymEHL.jpg;https://m.media-amazon.com/images/I/41VYhaV9KBL.jpg;https://m.media-amazon.com/images/I/41s2lwvRsrL.jpg;https://m.media-amazon.com/images/I/41z63trC+gL.jpg;https://m.media-amazon.com/images/I/51gtlB+WCwL.jpg","AMD Ryzen 7 5800X Processor (8 Cores/16 threads, 105W DTP, AM4 socket, 36 MB Cache, up to 4,7Ghz max boost frequency, no cooler)","1827","4.8","","","","","196.35","404.07","Computer & Zubehör › Komponenten & Ersatzteile › Interne Komponenten & Hardware › Prozessoren","Computer & Zubehör","B0815XFSGK","0730143312714, 7301433127146","AMD",""
"https://m.media-amazon.com/images/I/41jku5NfEtL.jpg;https://m.media-amazon.com/images/I/21WYMThWcJL.jpg;https://m.media-amazon.com/images/I/41RRIy3PyvL.jpg","AMD RYZEN 7 9850X3D","2301","4.7","454.00","4","454.00","4","454.00","507.99","Computer & Zubehör › Komponenten & Ersatzteile › Interne Komponenten & Hardware › Prozessoren","Computer & Zubehör","B0G8JMLXNQ","0730143318280","AMD",""
"https://m.media-amazon.com/images/I/41T+yFsdxdL.jpg;https://m.media-amazon.com/images/I/51gqI0hGrPL.jpg;https://m.media-amazon.com/images/I/414zonN+CML.jpg;https://m.media-amazon.com/images/I/31rjTUOtNIL.jpg;https://m.media-amazon.com/images/I/51SORb4qqCL.jpg;https://m.media-amazon.com/images/I/41mMCMW8WYL.jpg","Intel® Core™ Ultra 7 Desktop-Prozessor 265K 20 Kerne (8 P-cores +12 E-cores) bis zu 5,5 GHz","2581","4.8","259.00","4","259.00","4","259.00","703.19","Computer & Zubehör › Komponenten & Ersatzteile › Interne Komponenten & Hardware › Prozessoren","Computer & Zubehör","B0DFK2MH2D","5032037282062, 0735858550529","Intel",""
"https://m.media-amazon.com/images/I/41SJLq0-3dL.jpg;https://m.media-amazon.com/images/I/51gqI0hGrPL.jpg;https://m.media-amazon.com/images/I/41g+cQchmCL.jpg;https://m.media-amazon.com/images/I/51SORb4qqCL.jpg;https://m.media-amazon.com/images/I/41mMCMW8WYL.jpg","Intel® Core™ Ultra 7 Desktop-Prozessor 265KF 20 Kerne (8 P-cores + 12 E-cores) bis zu 5,5 GHz","2581","4.8","239.00","4","239.00","4","239.00","675.36","Computer & Zubehör › Komponenten & Ersatzteile › Interne Komponenten & Hardware › Prozessoren","Computer & Zubehör","B0DFK2WHF8","5032037281980, 0735858550444","Intel",""
"https://m.media-amazon.com/images/I/21+cmeks+DL.jpg","AMD Ryzen 7 5700X 3.4GHz Box sin Ventilador Tray","3043","4.5","146.78","49","205.35","12","146.78","209.97","Computer & Zubehör › Komponenten & Ersatzteile › Interne Komponenten & Hardware › Prozessoren","Computer & Zubehör","B0C3T4MFMM","8592978372316","AMD",""
"https://m.media-amazon.com/images/I/41yERiN9M1L.jpg;https://m.media-amazon.com/images/I/21y1UGxCfUL.jpg;https://m.media-amazon.com/images/I/41t7YbeOzqL.jpg","AMD Ryzen 9 9950X3D Box","3626","4.7","","1","","","696.90","833.40","Computer & Zubehör › Komponenten & Ersatzteile › Interne Komponenten & Hardware › Prozessoren","Computer & Zubehör","B0DVZSG8D5","0730143315555","AMD",""
"https://m.media-amazon.com/images/I/419Ou+b1uTL.jpg;https://m.media-amazon.com/images/I/51YZU4S9EmL.jpg;https://m.media-amazon.com/images/I/51vMpAu6TBL.jpg;https://m.media-amazon.com/images/I/41+AtNoUg8L.jpg;https://m.media-amazon.com/images/I/51HW1Bt-cwL.jpg","Intel® Core™ Ultra 9 Desktop-Prozessor 285K 24 Kerne (8 P-cores + 16 E-cores) bis zu 5,7 GHz","5076","4.7","477.99","4","477.99","4","477.99","1,018.61","Computer & Zubehör › Komponenten & Ersatzteile › Interne Komponenten & Hardware › Prozessoren","Computer & Zubehör","B0DFKC99VL","0735858550383, 5032037281928","Intel",""
